0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:01:25 +0530] "POST /uploaddata HTTP/1.1" 500 1480
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:01:25 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:01:25 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:01:25 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:01:25 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:01:25 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:01:25 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:11 +0530] "GET /admin HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:11 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:11 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:11 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:11 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:11 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:11 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:41 +0530] "GET /upload HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:41 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:41 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:41 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:41 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:41 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:41 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:45 +0530] "POST /uploaddata HTTP/1.1" 500 1480
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:45 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:45 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:45 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:45 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:45 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:45 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:46 +0530] "GET /admin HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:46 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:46 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:46 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:46 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:46 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:02:46 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:04:28 +0530] "GET /upload HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:04:28 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:04:28 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:04:28 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:10:04:28 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
